period,ratio,category
2025-11-14,24.54081,비타민D
2025-11-15,23.85712,비타민D
2025-11-16,27.29855,비타민D
2025-11-17,28.73211,비타민D
2025-11-18,28.39776,비타민D
2025-11-19,27.78375,비타민D
2025-11-20,27.6576,비타민D
2025-11-21,25.99202,비타민D
2025-11-22,24.90869,비타민D
2025-11-23,27.415,비타민D
2025-11-24,28.38805,비타민D
2025-11-25,29.03382,비타민D
2025-11-26,26.71189,비타민D
2025-11-27,26.74806,비타민D
2025-11-28,24.51788,비타민D
2025-11-29,26.7807,비타민D
2025-11-30,29.78015,비타민D
2025-12-01,30.6694,비타민D
2025-12-02,31.50925,비타민D
2025-12-03,30.89701,비타민D
2025-12-04,28.93148,비타민D
2025-12-05,27.25003,비타민D
2025-12-06,27.40882,비타민D
2025-12-07,30.57589,비타민D
2025-12-08,30.35887,비타민D
2025-12-09,30.47708,비타민D
2025-12-10,29.84808,비타민D
2025-12-11,29.8622,비타민D
2025-12-12,28.50715,비타민D
2025-12-13,29.01176,비타민D
2025-12-14,31.48014,비타민D
2025-12-15,31.13696,비타민D
2025-12-16,31.2146,비타민D
2025-12-17,30.78056,비타민D
2025-12-18,30.05981,비타민D
2025-12-19,28.22485,비타민D
2025-12-20,28.66506,비타민D
2025-12-21,32.04562,비타민D
2025-12-22,32.58729,비타민D
2025-12-23,30.71439,비타민D
2025-12-24,27.93196,비타민D
2025-12-25,30.05099,비타민D
2025-12-26,29.46874,비타민D
2025-12-27,30.07657,비타민D
2025-12-28,33.3548,비타민D
2025-12-29,33.24276,비타민D
2025-12-30,31.53307,비타민D
2025-12-31,28.96236,비타민D
2026-01-01,34.49106,비타민D
2026-01-02,34.86246,비타민D
2026-01-03,35.1677,비타민D
2026-01-04,38.14686,비타민D
2026-01-05,36.109,비타민D
2026-01-06,36.99648,비타민D
2026-01-07,36.8421,비타민D
2026-01-08,37.93337,비타민D
2026-01-09,35.88139,비타민D
2026-01-10,36.9162,비타민D
2026-01-11,40.25707,비타민D
2026-01-12,40.43968,비타민D
2026-01-13,38.83938,비타민D
2026-01-14,38.78292,비타민D
2026-01-15,38.73087,비타민D
2026-01-16,36.21486,비타민D
2026-01-17,36.72918,비타민D
2026-01-18,41.45685,비타민D
2026-01-19,39.21608,비타민D
2026-01-20,38.64618,비타민D
2026-01-21,37.84339,비타민D
2026-01-22,36.88003,비타민D
2026-01-23,35.56998,비타민D
2026-01-24,39.78598,비타민D
2026-01-25,42.17936,비타민D
2026-01-26,40.88342,비타민D
2026-01-27,39.63336,비타민D
2026-01-28,40.41674,비타민D
2026-01-29,39.09875,비타민D
2026-01-30,37.03354,비타민D
2026-01-31,37.88926,비타민D
2026-02-01,40.79873,비타민D
2026-02-02,38.87732,비타민D
2026-02-03,38.75646,비타민D
2026-02-04,37.87603,비타민D
2026-02-05,38.07011,비타민D
2026-02-06,37.31848,비타민D
2026-02-07,38.84379,비타민D
2026-02-08,42.05321,비타민D
2026-02-09,39.70658,비타민D
2026-02-10,39.45162,비타민D
2026-02-11,36.5598,비타민D
2026-02-12,35.41118,비타민D
2026-02-13,31.66628,비타민D
